Method,Recall,Hits,CI_Low,CI_High
Company,0.8991452991452992,526,0.8720791302962195,0.9210034236537733
SBERT_0.75,1.0,585,0.9934760044127318,1.0
SBERT_0.80,1.0,585,0.9934760044127318,1.0
SBERT_0.83,1.0,585,0.9934760044127318,1.0
Entity_Any,0.4444444444444444,260,0.4046696930047157,0.4849440842827586
Entity_Core,0.3452991452991453,202,0.3078911910302583,0.3847256349548624
★Ours_T70,0.7076923076923077,414,0.6695757246493623,0.7430989233374647
★Ours_T70_DataDriven,1.0,585,0.9934760044127318,1.0
ANoHeur,0.6752136752136753,395,0.6362285419797927,0.7119126219597116
AUniform_Mid,0.7094017094017094,415,0.6713368808688495,0.744734266278363
ANo_Core_Logic,0.6752136752136753,395,0.6362285419797927,0.7119126219597116
